Sunday_date,Age_group,hosp_unvaccinated_rel,hosp_after_1st_dose_rel,hosp_after_2nd_dose_rel,hosp_after_3rd_dose_rel
2021-07-04,80-89,8.916775460225866e-05,0.0001608234158893535,5.340972542545702e-05,
2021-07-04,90+,0.000131372310662182,0.0005546311702717693,2.1536871123363198e-05,
2021-07-11,0-19,2.9824492574156788e-06,4.819393238391286e-06,2.4171637966875187e-06,
2021-07-11,20-29,0.0,1.125112511251125e-05,1.0656345640702125e-06,
2021-07-11,30-39,4.830137751196004e-06,1.4684503443516058e-05,5.3770783752189815e-06,
2021-07-11,40-49,5.395454366804923e-05,0.0,6.730947212546485e-06,
2021-07-11,50-59,6.597030614828009e-05,0.0,1.3913082192924362e-05,
2021-07-11,60-69,6.247511900040555e-05,3.4216108944090876e-05,2.9423151374370886e-05,
2021-07-11,70-79,4.296498250126808e-05,0.0,8.323403658793019e-05,
2021-07-11,80-89,8.991337032291733e-05,0.00016116035455278002,0.0001213232974701666,
2021-07-11,90+,0.00013224095062456764,0.0,0.00019354006279299814,
2021-07-18,0-19,6.359559470835493e-06,6.410667350471184e-06,2.1077880661255274e-06,
2021-07-18,20-29,2.7446788620104134e-05,0.0,1.0636317706809903e-06,
2021-07-18,30-39,5.839972123263346e-05,0.0,6.440020865667605e-06,
2021-07-18,40-49,6.63858015422523e-05,0.0,1.0083423523954852e-05,
2021-07-18,50-59,0.00017721068401493255,0.0,2.362682951574728e-05,
2021-07-18,60-69,0.00015066318097328322,3.4324157341937255e-05,4.178104873527218e-05,
2021-07-18,70-79,0.00039018861190993974,7.662248103593594e-05,9.850275807722617e-05,
2021-07-18,80-89,0.0008170070780626832,0.00016353229762878168,0.0001793878510789937,
2021-07-18,90+,0.0006664930133026648,0.0005652911249293386,0.00021470285125386464,
2021-07-25,0-19,4.895744865394073e-06,0.0,1.8283775160760092e-06,
2021-07-25,20-29,2.779995767448756e-05,1.1173059518888058e-05,1.0602430076973642e-06,
2021-07-25,30-39,6.895551940510143e-05,0.0,1.1771542189742277e-05,
